year,region,total_area_ha,avg_yield_mt_ha,total_production_mt
1999,Ashanti,117649.0,1.6533333333333333,193521.8
1999,Brong Ahafo,180422.0,1.963076923076923,376517.06
1999,Central,85706.0,1.165,102624.99
1999,Eastern,151800.0,1.78,273535.0
1999,Greater Accra,6745.0,0.8675,5898.0
1999,Northern,112020.0,0.9161538461538462,107248.0
1999,Upper East,8222.0,0.685,6216.0
1999,Upper West,35630.0,1.124,42770.0
1999,Volta,42950.0,1.625,71615.0
1999,Western,49556.0,1.4009090909090909,72167.0
2000,Ashanti,114879.0,1.6877777777777778,191903.0
2000,Brong Ahafo,94798.0,1.6676923076923076,166326.0
2000,Central,89229.0,1.2958333333333334,117482.0
2000,Eastern,148400.0,1.6333333333333333,241990.0
2000,Greater Accra,6968.0,0.8939999999999999,6207.0
2000,Northern,98500.0,0.7984615384615386,78800.0
2000,Upper East,10466.0,1.138,16280.0
2000,Upper West,34979.0,1.498,56725.0
2000,Volta,44640.0,1.3499999999999999,62638.0
2000,Western,51876.0,1.3563636363636364,74349.0
2001,Ashanti,119473.0,1.5344444444444445,170000.0
2001,Brong Ahafo,99277.0,1.6115384615384616,168000.0
2001,Central,91012.0,1.2825,118000.0
2001,Eastern,147744.0,1.4126666666666667,201000.0
2001,Greater Accra,8015.0,0.842,6517.0
2001,Northern,104088.0,0.7053846153846154,69878.0
2001,Upper East,9995.0,1.236,15000.0
2001,Upper West,36250.0,1.26,50738.0
2001,Volta,45350.0,1.3525,63840.0
2001,Western,54099.0,1.319090909090909,75000.0
2002,Ashanti,170120.0,1.7472222222222222,269480.0
2002,Brong Ahafo,160730.0,1.5961538461538463,268980.0
2002,Central,91010.0,1.97,199670.0
2002,Eastern,201530.0,1.6580000000000001,332690.0
2002,Greater Accra,4380.0,0.8480000000000001,3620.0
2002,Northern,157020.0,0.7546153846153847,94560.0
2002,Upper East,11410.0,2.178,18390.0
2002,Upper West,36730.0,1.52,62560.0
2002,Volta,45100.0,1.3583333333333334,63850.0
2002,Western,61570.0,1.3499999999999999,86200.0
2003,Ashanti,119620.0,1.675,193920.0
2003,Brong Ahafo,176800.0,1.5961538461538463,295680.0
2003,Central,94740.0,2.686666666666667,247110.0
2003,Eastern,150600.0,1.62,244000.0
2003,Greater Accra,4080.0,0.704,2610.0
2003,Northern,89060.0,1.4561538461538461,79050.0
2003,Upper East,11920.0,1.5,20370.0
2003,Upper West,37790.0,1.44,60710.0
2003,Volta,45500.0,1.2608333333333333,58630.0
2003,Western,61800.0,1.3563636363636364,86520.0
2004,Ashanti,113639.0,1.6583333333333334,183032.13
2004,Brong Ahafo,167900.0,1.6115384615384616,281267.0
2004,Central,87160.8,1.6433333333333333,159622.12
2004,Eastern,141950.0,1.68,241621.0
2004,Greater Accra,4386.0,0.666,2713.5099999999998
2004,Northern,66255.0,1.25,74566.0
2004,Upper East,11040.0,1.3139999999999998,14650.2
2004,Upper West,40260.0,1.3219999999999998,60801.48
2004,Volta,40730.0,1.285,53868.0
2004,Western,59634.0,1.3845454545454545,85479.98
2005,Ashanti,129517.0,1.3061904761904761,161816.0
2005,Brong Ahafo,178880.0,1.9852631578947368,358259.0
2005,Central,95788.0,1.7676923076923077,164398.0
2005,Eastern,124900.0,1.6288235294117648,206467.0
2005,Greater Accra,2686.9900000000002,0.79,2103.0099999999998
2005,Northern,79920.0,1.2477777777777779,96717.0
2005,Upper East,13396.0,1.0871428571428572,14496.0
2005,Upper West,34260.0,1.37125,47422.0
2005,Volta,32965.0,1.398,47577.0
2005,Western,47686.99,1.4907692307692306,72135.0
2006,Ashanti,138792.99,1.2376190476190476,164225.99
2006,Brong Ahafo,191690.7,1.8805263157894736,363594.59
2006,Central,102647.97,1.6746153846153846,166846.65
2006,Eastern,133844.0,1.5423529411764705,209541.85
2006,Greater Accra,2879.0,0.7483333333333334,2134.47
2006,Northern,85644.0,1.1938888888888888,98157.28
2006,Upper East,14355.0,1.0185714285714285,14711.84
2006,Upper West,36714.0,1.2925,48127.85
2006,Volta,35330.0,1.3106666666666666,48285.98
2006,Western,51102.0,1.4130769230769231,73209.56999999999
2007,Ashanti,138983.89,1.252857142857143,169383.19
2007,Brong Ahafo,197441.73,1.9142105263157894,381434.86
2007,Central,100694.2,1.806923076923077,176221.54
2007,Eastern,136212.0,1.6429411764705881,227504.5
2007,Greater Accra,3172.0,0.8333333333333334,2775.0
2007,Northern,72073.4,1.195,88037.21
2007,Upper East,17382.0,0.4975,8755.78
2007,Upper West,35716.130000000005,1.1075,40104.17
2007,Volta,35790.0,1.3286666666666667,49978.47
2007,Western,52603.0,1.3723076923076922,75405.81
2008,Ashanti,145024.0,1.2452380952380953,182847.95
2008,Brong Ahafo,204399.0,1.9442105263157894,402687.7
2008,Central,112497.62,2.0492307692307694,225213.59
2008,Eastern,8500.0,2.1,17850.0
2008,Greater Accra,3106.0,0.8433333333333334,2762.62
2008,Northern,77351.0,1.768888888888889,131856.6
2008,Upper East,23763.0,1.5875,38256.4
2008,Upper West,38438.0,1.42125,55233.229999999996
2008,Volta,45228.0,1.532,72858.0
2008,Western,54140.0,1.3676923076923078,77553.16
2009,Ashanti,146040.0,1.2771428571428571,186828.74
2009,Brong Ahafo,246270.0,1.8405263157894736,446262.97
2009,Central,114540.0,2.0976923076923075,231238.3
2009,Eastern,169000.0,1.8235294117647058,303400.0
2009,Greater Accra,3610.0,0.875,3312.0
2009,Northern,90500.0,1.7083333333333333,155503.2
2009,Upper East,31040.0,1.5125,51140.0
2009,Upper West,45600.0,1.50625,70660.0
2009,Volta,52690.0,1.75,97064.2
2009,Western,55140.0,1.3676923076923078,79020.8
2010,Ashanti,153450.55,1.580952380952381,253373.57
2010,Brong Ahafo,250950.0,2.0357894736842104,510171.5
2010,Central,103070.0,1.9853846153846153,195393.5
2010,Eastern,173050.0,2.173529411764706,380505.0
2010,Greater Accra,3638.0,0.9333333333333332,3584.0
2010,Northern,110430.0,1.8844444444444446,202316.42
2010,Upper East,37920.0,1.53875,62255.5
2010,Upper West,56370.0,1.475,86204.0
2010,Volta,52070.0,1.7233333333333334,93887.3
2010,Western,50720.0,1.393076923076923,74190.5
2011,Ashanti,153936.38,1.0942857142857143,173734.52
2011,Brong Ahafo,236651.0,1.8326315789473684,434740.5
2011,Central,104600.51,2.023076923076923,202361.99
2011,Eastern,174573.2,2.1558823529411764,364165.6
2011,Greater Accra,3930.69,1.1216666666666668,4461.25
2011,Northern,134722.62,1.391111111111111,192604.11
2011,Upper East,43370.0,1.6125,75273.1
2011,Upper West,67350.0,1.18125,82651.0
2011,Volta,53923.0,1.716,97857.33
2011,Western,50120.0,1.3553846153846154,71285.1
2012,Ashanti,154613.0,1.3477777777777777,205418.54
2012,Brong Ahafo,244922.0,2.209090909090909,570349.9
2012,Central,104984.36,1.881764705882353,192068.62
2012,Eastern,176825.0,2.2342857142857144,405377.36
2012,Greater Accra,3719.1,1.296,4681.150000000001
2012,Northern,139214.0,1.4789999999999999,209147.91
2012,Upper East,45732.0,1.53,65810.82
2012,Upper West,70369.9,1.7055555555555555,129090.34
2012,Volta,48242.9,1.6672222222222222,84921.57
2012,Western,53461.0,1.411764705882353,82824.95
2013,Ashanti,155480.0,1.3111111111111111,201785.8
2013,Brong Ahafo,247727.0,1.8695454545454546,466208.16000000003
2013,Central,106054.0,1.7111764705882353,168120.23
2013,Eastern,176268.0,2.2252380952380952,399958.58
2013,Greater Accra,3671.0,1.2570000000000001,4512.0
2013,Northern,119571.0,1.3725,170512.24
2013,Upper East,45214.0,1.3877777777777778,64433.92
2013,Upper West,67123.0,1.671111111111111,122254.03000000001
2013,Volta,48965.0,1.6383333333333332,84261.71
2013,Western,53386.0,1.4052941176470588,82430.29000000001
2014,Ashanti,157727.0,1.4074074074074074,219225.1
2014,Brong Ahafo,244111.0,1.85,453326.0
2014,Central,107596.41,1.7705882352941178,178562.71
2014,Eastern,176801.4,2.2614285714285716,409043.18
2014,Greater Accra,3750.0,1.057,4185.68
2014,Northern,119013.06,1.3525,164977.05
2014,Upper East,43499.0,1.3566666666666667,59867.22
2014,Upper West,60840.0,1.5444444444444445,104338.4
2014,Volta,53452.3,1.7655555555555555,99866.03
2014,Western,57765.0,1.2358823529411764,75185.2
2015,Ashanti,128866.93000000001,1.6025925925925928,203811.89
2015,Brong Ahafo,215250.0,1.8340909090909092,396511.0
2015,Central,78735.05,2.357647058823529,173929.12
2015,Eastern,147939.99,2.597142857142857,393111.01
2015,Greater Accra,10.25,1.025,11.2
2015,Northern,90152.0,1.9105,176562.01
2015,Upper East,43499.0,1.3833333333333333,60980.009999999995
2015,Upper West,60840.0,1.6733333333333333,113124.98999999999
2015,Volta,53452.3,1.6938888888888888,95871.37
2015,Western,57765.0,1.2141176470588235,73681.49
2016,Ashanti,122256.02,1.6892592592592592,201186.02
2016,Brong Ahafo,213042.0,1.9440909090909089,405641.0
2016,Central,78842.99,2.3847058823529412,175889.99
2016,Eastern,150722.99,2.653809523809524,407052.01
2016,Greater Accra,3062.0,0.9129999999999999,3687.01
2016,Northern,91108.0,1.9585000000000001,179416.26
2016,Upper East,39770.0,1.5054545454545454,57592.3
2016,Upper West,60962.51,1.6390909090909092,115438.77
2016,Volta,52274.920000000006,1.7944444444444443,98223.04000000001
2016,Western,49170.0,1.3652941176470588,72994.0
2017,Ashanti,127410.0,1.755925925925926,217390.63
2017,Brong Ahafo,224436.0,1.9892592592592593,440594.49
2017,Central,81885.0,2.5470588235294116,199192.5
2017,Eastern,162500.0,2.8503846153846153,461513.22000000003
2017,Greater Accra,5204.2699999999995,1.644,9116.34
2017,Northern,148198.0,1.6984615384615382,259446.85
2017,Upper East,60025.0,1.676923076923077,103747.5
2017,Upper West,67058.76,1.6981818181818182,130445.8
2017,Volta,58820.0,1.8664,116444.47
2017,Western,48977.0,1.4627272727272727,73287.62
2018,Ashanti,128246.0,2.6682758620689655,351626.08
2018,Brong Ahafo,215050.0,2.1085185185185185,441328.83
